user_id,playlist_name,total_tracks,playlist_url
zekrieldimaz,post-anger,11,https://open.spotify.com/playlist/7az3NB9itjkgKGcv9izOHD
zekrieldimaz,punya rama,7,https://open.spotify.com/playlist/7feMM3LZiFPpUqseNsWMZv
zekrieldimaz,buat sabil,1,https://open.spotify.com/playlist/7JyZHGbOMwJAp9fzxSdv7w
zekrieldimaz,capeKerja,11,https://open.spotify.com/playlist/3v7GxKshoQBgj9CZxWLDOf
zekrieldimaz,ccuP,21,https://open.spotify.com/playlist/6o9sxZXArERB72Y5gpSvK1
zekrieldimaz,SMP CORE,69,https://open.spotify.com/playlist/61t9krvKq0nDeGW8Yb1nUh
zekrieldimaz,"bu, abang pulang yaa",10,https://open.spotify.com/playlist/2zm2dIUNaRZrXCBpUVrQgy
zekrieldimaz,kalo ditanya top 3 songs of all time versi dimas,3,https://open.spotify.com/playlist/5ByUn16bn5QFhbKufBxIRF
