Contribution Rank:
1.  - The Greatest Show | Rank: 2
2.  - A Million Dreams | Rank: 2
3.  - A Million Dreams (Reprise) | Rank: 2
4.  - Come Alive | Rank: 2
5.  - The Other Side | Rank: 2
6. Loren Allred - Never Enough | Rank: 2
7.  - This Is Me | Rank: 2
8.  - Rewrite The Stars | Rank: 2
9. Michelle Williams - Tightrope | Rank: 2
10. Loren Allred - Never Enough (Reprise) | Rank: 2
11.  - From Now On | Rank: 2
